comment_star,review_count,BusinessAcceptsCreditCards,BikeParking,RestaurantsReservations,HasTV,Alcohol,RestaurantsGoodForGroups,WiFi,garage,street,lot,valet,dinner,Total_hour,acceptable_noise,upscale_classy
4,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
4,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
4,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
5,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
5,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
5,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
1,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
4,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
2,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
5,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
5,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
2,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
5,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
3,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
1,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
4,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
1,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
1,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
5,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
5,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
2,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
1,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
1,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
4,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
1,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
4,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
1,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
3,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
4,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
2,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
3,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
1,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
5,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
1,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
1,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
4,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
1,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
4,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
1,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
3,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
5,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
1,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
3,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
4,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
5,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
5,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
1,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
5,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
5,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
1,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
2,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
4,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
5,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
4,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
1,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
1,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
2,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
2,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
3,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
4,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
3,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
4,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
4,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
2,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
3,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
2,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
4,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
3,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
3,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
2,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
5,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
2,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
5,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
1,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
3,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
4,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
1,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
3,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
4,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
4,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
4,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
2,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
3,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
2,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
3,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
1,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
2,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
5,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
3,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
2,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
1,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
5,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
3,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
2,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
4,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
3,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
1,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
5,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
1,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
3,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
5,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
4,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
3,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
5,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
