review_id,user_id,business_id,stars_x,date,text,index,name,address,city,state,postal_code,latitude,longitude,stars_y,review_count,is_open,categories,hours,GoodForKids,BusinessAcceptsCreditCards,WheelchairAccessible,RestaurantsReservations,RestaurantsPriceRange2,OutdoorSeating,RestaurantsDelivery,Alcohol,HasTV,Caters,RestaurantsGoodForGroups,NoiseLevel,RestaurantsAttire,BikeParking,WiFi,RestaurantsTakeOut,BusinessAcceptsBitcoin,HappyHour,RestaurantsTableService,ByAppointmentOnly,BestNights,Music,GoodForDancing,DogsAllowed,CoatCheck,Smoking,DriveThru,AcceptsInsurance,Corkage,BYOB,BYOBCorkage,DietaryRestrictions,RestaurantsCounterService,Open24Hours,HairSpecializesIn,garage,street,validated,lot,valet,dessert,latenight,lunch,dinner,brunch,breakfast,touristy,hipster,romantic,divey,intimate,trendy,upscale,classy,casual,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
ixNSB3zJsqou6lS-8VFhjA,VFqNVrzzaxZKMPck3KmNBg,1CRaUspmxoegNBUnLkBAyA,5,2017-01-16 19:15:53,Awesome food! My girlfriend and I decided we wanted to dine in. Dining areas a bit rustic but decent enough to eat in on. Food came out piping hot and very juicy. We got orange chicken and honey chicken lunch specials. Very worth the money.,2828,Li Chinese Reaturant,2659 N Illinois St,Swansea,IL,62226,38.5443273542,-89.9841293629,3.0,27,1,"Chinese, Restaurants","{'Monday': '10:30-22:0', 'Wednesday': '10:30-22:0', 'Thursday': '10:30-22:0', 'Friday': '10:30-22:30', 'Saturday': '10:30-22:30', 'Sunday': '11:30-22:0'}",True,True,,False,1,False,True,u'none',True,True,False,u'quiet',u'casual',True,'no',True,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,10:30-22:0,,10:30-22:0,10:30-22:0,10:30-22:30,10:30-22:30,11:30-22:0
EmAxtqEHH124Bjf2vqhYGQ,9xnqYHQC4tBxRrjnYzR_NA,1CRaUspmxoegNBUnLkBAyA,4,2017-12-31 22:46:56,We had sweet and sour chicken @ peppersteak last night. It was a bit pricey but very good. The meat was tender and the rice excellent. I'll definitely order again in the near future!,2828,Li Chinese Reaturant,2659 N Illinois St,Swansea,IL,62226,38.5443273542,-89.9841293629,3.0,27,1,"Chinese, Restaurants","{'Monday': '10:30-22:0', 'Wednesday': '10:30-22:0', 'Thursday': '10:30-22:0', 'Friday': '10:30-22:30', 'Saturday': '10:30-22:30', 'Sunday': '11:30-22:0'}",True,True,,False,1,False,True,u'none',True,True,False,u'quiet',u'casual',True,'no',True,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,10:30-22:0,,10:30-22:0,10:30-22:0,10:30-22:30,10:30-22:30,11:30-22:0
7j8cCnCF5TPEVBNlZJ6Rqg,j3cmlhUwxmbHjTwHiLuhVA,1CRaUspmxoegNBUnLkBAyA,3,2014-04-24 02:38:08,"We've ordered take out from here many times simply because they're closest to our house and because the speed of delivery was unmatched. The first few times were really good. The last few have not been. At all. The hot and sour soup is great, and the steamed dumplings are very tasty. However, while the egg rolls are giant, they don't have much flavor. I do like their crab rangoon; they're a little on the sweeter side as opposed to the onion-flavored side. I quit ordering their egg drop soup because it kept coming with yolky-like, slimy lumps in it. The last time I ordered it, I literally had several tablespoons of this uncooked funk in the bottom of the container. I have issues with some textures, and that was just gross! My mom orders veggie lo mein, and she said she was done ordering it there. It just tasted greasy when I tried hers. My dad and I both tried a seafood dish the last time, and we both enjoyed it. My only issue was that it was nearly $12 for a bunch of baby corn and other assorted veggies. Yes, there was imitation crab and scallops, as promised, bu for $12, I expected it to be a little heavier on the seafood and less on the baby corn. It's hit or miss.",2828,Li Chinese Reaturant,2659 N Illinois St,Swansea,IL,62226,38.5443273542,-89.9841293629,3.0,27,1,"Chinese, Restaurants","{'Monday': '10:30-22:0', 'Wednesday': '10:30-22:0', 'Thursday': '10:30-22:0', 'Friday': '10:30-22:30', 'Saturday': '10:30-22:30', 'Sunday': '11:30-22:0'}",True,True,,False,1,False,True,u'none',True,True,False,u'quiet',u'casual',True,'no',True,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,10:30-22:0,,10:30-22:0,10:30-22:0,10:30-22:30,10:30-22:30,11:30-22:0
UNSzIF_of0i3ctQf7lblCg,ymjfB7_PkYhmOVlxhnesHw,1CRaUspmxoegNBUnLkBAyA,4,2015-04-24 02:25:36,We have ordered from here more times than I can count.  It is our take out go to.  The food is always good.  The prices are good.  And our order is always accurate.  I would suggest the black pepper chicken.,2828,Li Chinese Reaturant,2659 N Illinois St,Swansea,IL,62226,38.5443273542,-89.9841293629,3.0,27,1,"Chinese, Restaurants","{'Monday': '10:30-22:0', 'Wednesday': '10:30-22:0', 'Thursday': '10:30-22:0', 'Friday': '10:30-22:30', 'Saturday': '10:30-22:30', 'Sunday': '11:30-22:0'}",True,True,,False,1,False,True,u'none',True,True,False,u'quiet',u'casual',True,'no',True,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,10:30-22:0,,10:30-22:0,10:30-22:0,10:30-22:30,10:30-22:30,11:30-22:0
5MFCxm4yW5jxRSHx8tZrNg,vkHwQ5LMBsefB7dA_FUtkA,1CRaUspmxoegNBUnLkBAyA,3,2016-04-17 23:31:34,The food is fine. But I've had issues with this place more than once. A previous time we got delivery they forgot an egg roll and a pork fried rice. When I called back they credited me for those missing items. When my wife and I went in to order takeout they scrambled around trying to find our credit... there was a wall with sticky notes all over it. I guess that's how they keep track of their mess ups. Great system. Eventually we got the two free items we had been promised. Then as we were leaving my wife decided to check the bags and we were still missing theeggg roll. So today we ordered delivery again. I ordered a combination platter which comes with rice and an egg roll. Again no egg roll in the bag. What is up with this place forgetting stuff? It's really aggravating because it seems to be pretty common occurrence.,2828,Li Chinese Reaturant,2659 N Illinois St,Swansea,IL,62226,38.5443273542,-89.9841293629,3.0,27,1,"Chinese, Restaurants","{'Monday': '10:30-22:0', 'Wednesday': '10:30-22:0', 'Thursday': '10:30-22:0', 'Friday': '10:30-22:30', 'Saturday': '10:30-22:30', 'Sunday': '11:30-22:0'}",True,True,,False,1,False,True,u'none',True,True,False,u'quiet',u'casual',True,'no',True,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,10:30-22:0,,10:30-22:0,10:30-22:0,10:30-22:30,10:30-22:30,11:30-22:0
KZlzjIhyXWBvLZnFqe8H3Q,zgt7cVVO-__3v6FqhFSbBw,1CRaUspmxoegNBUnLkBAyA,1,2013-07-21 19:54:46,"Like most small Chinese restaurants, it does not take long for the service and food to go down hill.  I read the reviews and most are all positive.  However, looking at the dates of the reviews, show that the the place did well the first year of existence. 

Today, we decide to eat here thinking it would be a good decision base on the reviews.  How sadly mistaken we were with our choice.  There was only one customer and she was seated closest to the door.  I would know why shortly after ordering and finding a seat.  The menu is small and nothing to be excited.  The owners had their kids there playing video games in the dining area which was annoying.  They all must live near by cause their kids bikes were outside and inside the restaurant.  The worst part was a child behind the counter taking our order.  We assumed this was because the child was the only one who could speak English.  I should have mentioned to the owners about child labor laws cause he was the only one working the dining room.  He brought our food out and cleaned the table where the other customer was seated.  Oh and she left quickly when one of the kids ran around like it was a play ground area.  I understood why she sat closest to the door. 

Now to the food.  Nothing exciting here!  Very typical Chinese food in the metro east.  I wonder why all the Chinese food taste the same on this side of the river.  I go over to St Louis Grand BLVD and food there are so much better and authentic.  I have this belief that all the Chinese restaurants on this side of the river are owned by the same Chinese clan.  

This place should not be a restaurant.  We told ourselves that never will we ever step foot in this establishment again.  Their only positive is that the food came out fast.  But then after thinking about it, how can the food be prepared so fast?  Left overs and microwave!!!!!!!!!!!!!!!!!!!!!!!!!",2828,Li Chinese Reaturant,2659 N Illinois St,Swansea,IL,62226,38.5443273542,-89.9841293629,3.0,27,1,"Chinese, Restaurants","{'Monday': '10:30-22:0', 'Wednesday': '10:30-22:0', 'Thursday': '10:30-22:0', 'Friday': '10:30-22:30', 'Saturday': '10:30-22:30', 'Sunday': '11:30-22:0'}",True,True,,False,1,False,True,u'none',True,True,False,u'quiet',u'casual',True,'no',True,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,10:30-22:0,,10:30-22:0,10:30-22:0,10:30-22:30,10:30-22:30,11:30-22:0
SyzrI5hT3UHO5XK2LMfilw,7-zUwd0WrU-EWXSLFINWPg,1CRaUspmxoegNBUnLkBAyA,3,2016-04-29 03:28:29,"First opening it was great, but after that the rice wasn't the same an had no flavor. I have cooked fried rice better(that says alot) lol I ordered honey chicken and could  tell it wasn't just cooked not fresh... Overall it was just ok. Spareribs I did like though let me add a positive note",2828,Li Chinese Reaturant,2659 N Illinois St,Swansea,IL,62226,38.5443273542,-89.9841293629,3.0,27,1,"Chinese, Restaurants","{'Monday': '10:30-22:0', 'Wednesday': '10:30-22:0', 'Thursday': '10:30-22:0', 'Friday': '10:30-22:30', 'Saturday': '10:30-22:30', 'Sunday': '11:30-22:0'}",True,True,,False,1,False,True,u'none',True,True,False,u'quiet',u'casual',True,'no',True,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,10:30-22:0,,10:30-22:0,10:30-22:0,10:30-22:30,10:30-22:30,11:30-22:0
UsfYpOKwB6mQiM_IM_vFYw,O2NZ1ppIkIKKVoxirRd17A,1CRaUspmxoegNBUnLkBAyA,1,2016-01-09 07:11:56,"I am not sure what the deal is. A month ago the food was perfect, now it is horrible, new owner, new cook, who knows but DO NOT WASTE YOUR TIME. \\

YUCK!!!!!!!!!!!!!!!!!!!!!!!!!",2828,Li Chinese Reaturant,2659 N Illinois St,Swansea,IL,62226,38.5443273542,-89.9841293629,3.0,27,1,"Chinese, Restaurants","{'Monday': '10:30-22:0', 'Wednesday': '10:30-22:0', 'Thursday': '10:30-22:0', 'Friday': '10:30-22:30', 'Saturday': '10:30-22:30', 'Sunday': '11:30-22:0'}",True,True,,False,1,False,True,u'none',True,True,False,u'quiet',u'casual',True,'no',True,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,10:30-22:0,,10:30-22:0,10:30-22:0,10:30-22:30,10:30-22:30,11:30-22:0
sB64M6CyJ4niFQln-WeRwg,VFqNVrzzaxZKMPck3KmNBg,1CRaUspmxoegNBUnLkBAyA,1,2017-12-27 00:08:46,"This is an edit: 12/26/17
We've ordered here several times. Seems like every time we order from them the food and or service gets worse and worse. We made an online order this evening and waited for over an hour after getting a confirmation email that the order went through. Called and they were CLOSED. Never again.

Awesome food! My girlfriend and I decided we wanted to dine in. Dining areas a bit rustic but decent enough to eat in on. Food came out piping hot and very juicy. We got orange chicken and honey chicken lunch specials. Very worth the money.",2828,Li Chinese Reaturant,2659 N Illinois St,Swansea,IL,62226,38.5443273542,-89.9841293629,3.0,27,1,"Chinese, Restaurants","{'Monday': '10:30-22:0', 'Wednesday': '10:30-22:0', 'Thursday': '10:30-22:0', 'Friday': '10:30-22:30', 'Saturday': '10:30-22:30', 'Sunday': '11:30-22:0'}",True,True,,False,1,False,True,u'none',True,True,False,u'quiet',u'casual',True,'no',True,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,10:30-22:0,,10:30-22:0,10:30-22:0,10:30-22:30,10:30-22:30,11:30-22:0
R5ZoDYd55IkJNNe2iQV__A,w_a8GR4YPpZpAen0o8NYfQ,1CRaUspmxoegNBUnLkBAyA,3,2017-07-02 23:20:28,"I enjoy the food when we order but there tends to be inconsistencies in their side items that is frustrating hence the 3 stars. About 2 weeks ago we ordered 2 orders of crab ragoons and they were big and fried to a wonderful crispness. However, Friday evening we ordered them again along with an egg roll & pork fried rice. The rice was great but the crab ragoons were 1/2 the size of our previous order. Plus they along with the egg roll had not been fried long enough. The crab ragoons were soggy and had barely any crispness to them. The egg roll also had no crispness to it. 
The other issue is I've really never encountered friendly service. Neither by phone or in the restaurant. I would be happy to increase the stars if just the consistency was corrected. I can deal better with the rudeness if the food was better.",2828,Li Chinese Reaturant,2659 N Illinois St,Swansea,IL,62226,38.5443273542,-89.9841293629,3.0,27,1,"Chinese, Restaurants","{'Monday': '10:30-22:0', 'Wednesday': '10:30-22:0', 'Thursday': '10:30-22:0', 'Friday': '10:30-22:30', 'Saturday': '10:30-22:30', 'Sunday': '11:30-22:0'}",True,True,,False,1,False,True,u'none',True,True,False,u'quiet',u'casual',True,'no',True,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,10:30-22:0,,10:30-22:0,10:30-22:0,10:30-22:30,10:30-22:30,11:30-22:0
